conversation_id,n_comments,s80,s90
9c3izk,39,0.6666666666666666,0.8205128205128205
9c3l6m,46,0.6521739130434783,0.8043478260869565
9c3ld1,138,0.5797101449275363,0.7971014492753623
9c3qts,58,0.6724137931034483,0.8448275862068966
9c3s8n,175,0.4971428571428571,0.7142857142857143
9c3vrx,32,0.5625,0.75
9c3wf3,44,0.6818181818181818,0.8636363636363636
9c45kn,76,0.5263157894736842,0.7631578947368421
9c45y5,41,0.6829268292682927,0.8780487804878049
9c46oc,58,0.6379310344827587,0.7758620689655172
9c4rgm,139,0.60431654676259,0.8057553956834532
9c4sah,47,0.5319148936170213,0.7659574468085106
9c4snh,200,0.61,0.81
9c4tb8,24,0.625,0.8333333333333334
9c4uly,766,0.5626631853785901,0.7806788511749347
9c4wc2,1214,0.5683690280065898,0.7792421746293245
9c5932,101,0.6138613861386139,0.8118811881188119
9c5d4l,27,0.5925925925925926,0.7777777777777778
9c63pm,22,0.5454545454545454,0.8181818181818182
9c64e0,79,0.6455696202531646,0.8227848101265823
9c66wh,92,0.6086956521739131,0.8152173913043478
9c6h6g,31,0.7096774193548387,0.8387096774193549
9c6i74,20,0.7,0.85
9c6lxz,107,0.5700934579439252,0.794392523364486
9c6mc1,22,0.6818181818181818,0.8636363636363636
9c6sva,27,0.7037037037037037,0.8518518518518519
9c6t38,25,0.72,0.88
9c6yb5,131,0.5725190839694656,0.7862595419847328
9c71v0,34,0.6470588235294118,0.7941176470588235
9c728e,20,0.65,0.8
9c73ys,31,0.6774193548387096,0.8387096774193549
9c77yj,27,0.6666666666666666,0.8518518518518519
9c78gq,27,0.6296296296296297,0.8518518518518519
9c7fx0,26,0.6153846153846154,0.8076923076923077
9c7g4p,24,0.5833333333333334,0.8333333333333334
9c7kch,31,0.7096774193548387,0.8709677419354839
9c7kw6,25,0.72,0.88
9c7mop,35,0.5714285714285714,0.7428571428571429
9c7o1i,26,0.6153846153846154,0.8076923076923077
9c7u95,24,0.5416666666666666,0.7916666666666666
9c83al,20,0.65,0.8
9c898s,34,0.6176470588235294,0.7941176470588235
9c8a0o,35,0.6285714285714286,0.8
9c8e09,39,0.6153846153846154,0.7948717948717948
9c8ft8,51,0.4901960784313725,0.7647058823529411
9c8iec,41,0.6585365853658537,0.8048780487804879
9c8lbr,21,0.6190476190476191,0.8095238095238095
9c8pze,22,0.7727272727272727,0.8636363636363636
9c8scy,37,0.6756756756756757,0.8378378378378378
9c8za2,51,0.6470588235294118,0.8235294117647058
9c9a2p,21,0.7619047619047619,0.9047619047619048
9c9f0e,33,0.5454545454545454,0.8181818181818182
9c9fbg,20,0.65,0.85
9c9j0t,48,0.5833333333333334,0.75
9c9jg9,21,0.5238095238095238,0.6666666666666666
9c9tuq,54,0.6296296296296297,0.8333333333333334
9ca041,20,0.5,0.75
9ca22t,33,0.6666666666666666,0.8484848484848485
9ca9gd,22,0.6818181818181818,0.8636363636363636
9cabwv,76,0.5921052631578947,0.8157894736842105
9cacxz,32,0.6875,0.84375
9cadin,55,0.5636363636363636,0.7818181818181819
9cag1a,103,0.5242718446601942,0.7378640776699029
9cahpg,24,0.625,0.7916666666666666
9cal3b,36,0.6666666666666666,0.8055555555555556
9capgk,36,0.6388888888888888,0.8055555555555556
9capkr,20,0.7,0.85
9caq4m,22,0.7272727272727273,0.8636363636363636
9cau7l,30,0.6666666666666666,0.8333333333333334
9cazn3,49,0.6122448979591837,0.7959183673469388
9cb0gm,37,0.6486486486486487,0.8108108108108109
9cb1d1,26,0.5769230769230769,0.8076923076923077
9cb2ue,25,0.6,0.8
9cb4v6,33,0.6666666666666666,0.8787878787878788
9cb5lh,42,0.6428571428571429,0.7857142857142857
9cb8u6,50,0.58,0.78
9cbblf,27,0.7037037037037037,0.8518518518518519
9cbdu1,78,0.6538461538461539,0.8076923076923077
9cbegu,34,0.6764705882352942,0.8235294117647058
9cbf77,536,0.5615671641791045,0.789179104477612
9cbh1h,22,0.5909090909090909,0.8181818181818182
9cbh68,46,0.4565217391304347,0.6956521739130435
9cbkjx,23,0.7391304347826086,0.8695652173913043
9cbluk,188,0.601063829787234,0.7925531914893617
9cbp6k,35,0.7142857142857143,0.8571428571428571
9cbtyx,20,0.65,0.85
9cbzm2,21,0.5714285714285714,0.8095238095238095
9cc0z5,29,0.5862068965517241,0.7931034482758621
9cc54t,27,0.5925925925925926,0.8148148148148148
9cc77r,23,0.6521739130434783,0.8260869565217391
9cc7i4,77,0.6753246753246753,0.8441558441558441
9cc7tv,76,0.6447368421052632,0.8289473684210527
9cc8cf,26,0.5769230769230769,0.7692307692307693
9ccahp,31,0.5806451612903226,0.7741935483870968
9ccb4n,27,0.3703703703703703,0.7037037037037037
9ccei6,166,0.6566265060240963,0.8192771084337349
9cceyx,32,0.59375,0.8125
9ccgtz,62,0.5806451612903226,0.7903225806451613
9cckbw,24,0.5833333333333334,0.7916666666666666
9ccmxt,23,0.6521739130434783,0.8260869565217391
9ccob6,59,0.559322033898305,0.7627118644067796
9ccp2g,43,0.5581395348837209,0.7209302325581395
9ccppt,22,0.7272727272727273,0.9090909090909092
9ccsfh,42,0.5952380952380952,0.7857142857142857
9ccsxf,25,0.68,0.84
9cd2gy,180,0.5944444444444444,0.7944444444444444
9cd2vi,48,0.625,0.8125
9cd5s1,40,0.625,0.825
9cd77w,261,0.6053639846743295,0.7854406130268199
9cd7uv,92,0.6847826086956522,0.8369565217391305
9cd9f0,123,0.5772357723577236,0.7723577235772358
9cdbn8,142,0.6056338028169014,0.7746478873239436
9cdck2,26,0.6923076923076923,0.8076923076923077
9cdf43,30,0.6333333333333333,0.8333333333333334
9cdg95,84,0.5714285714285714,0.8095238095238095
9cdptj,45,0.7111111111111111,0.8444444444444444
9cdwdb,126,0.6031746031746031,0.8253968253968254
9cdwed,57,0.6491228070175439,0.8245614035087719
9ce0ct,29,0.6896551724137931,0.8620689655172413
9ce1gs,74,0.6351351351351351,0.8108108108108109
9ce2wv,39,0.6923076923076923,0.8461538461538461
9ce4fa,70,0.5571428571428572,0.8
9ce7gt,29,0.6551724137931034,0.7931034482758621
9cebv6,28,0.5714285714285714,0.8214285714285714
9cego7,264,0.6060606060606061,0.8068181818181818
9ceich,45,0.5555555555555556,0.8
9ceikf,36,0.6388888888888888,0.8333333333333334
9celf1,27,0.6296296296296297,0.8148148148148148
9ceqt3,39,0.5641025641025641,0.7948717948717948
9cf1p9,75,0.64,0.8133333333333334
9cfceu,29,0.5517241379310345,0.7931034482758621
9cfe8a,70,0.5857142857142857,0.7857142857142857
9cfg0k,52,0.5769230769230769,0.8076923076923077
9cfmql,22,0.6818181818181818,0.8181818181818182
9cfpd3,44,0.6590909090909091,0.7954545454545454
9cfske,21,0.6666666666666666,0.8571428571428571
9cfutd,29,0.5172413793103449,0.7241379310344828
9cfwap,54,0.6111111111111112,0.7777777777777778
9cfwi4,22,0.6818181818181818,0.8636363636363636
9cg6hl,31,0.6129032258064516,0.8064516129032258
9cg7lt,53,0.660377358490566,0.8301886792452831
9cge6p,22,0.5909090909090909,0.7727272727272727
9cge7h,45,0.6444444444444445,0.8444444444444444
9cgh69,86,0.5465116279069767,0.7325581395348837
9cgikt,33,0.6666666666666666,0.8484848484848485
9cgjoq,38,0.631578947368421,0.8421052631578947
9cgkyb,38,0.6578947368421053,0.8421052631578947
9cgqv4,28,0.5714285714285714,0.7857142857142857
9cgr4m,21,0.4285714285714285,0.7619047619047619
9cgrr0,40,0.625,0.825
9ch0hz,54,0.6481481481481481,0.8333333333333334
9ch9zr,32,0.65625,0.8125
9chauj,27,0.6666666666666666,0.8518518518518519
9chdls,20,0.5,0.75
9chex6,84,0.6309523809523809,0.7976190476190477
9chkuv,61,0.6885245901639344,0.8360655737704918
9chkys,25,0.72,0.88
9chvca,21,0.6666666666666666,0.8571428571428571
9chy0t,25,0.64,0.84
9ci2bd,21,0.6190476190476191,0.8571428571428571
9ci2kh,25,0.68,0.88
9ci8y0,89,0.6404494382022472,0.8314606741573034
9cia3d,59,0.6440677966101694,0.8135593220338984
9cia90,24,0.5416666666666666,0.75
9cirwl,24,0.75,0.875
9ciscz,36,0.6388888888888888,0.8333333333333334
9ciyo0,25,0.56,0.76
9cj6ed,69,0.6376811594202898,0.8405797101449275
9cjasd,41,0.6341463414634146,0.7560975609756098
9cjjbk,121,0.5785123966942148,0.7851239669421488
