thread_position,mean,median,count
0.0,0.0,0.0,3283
0.01,0.12565722018319167,0.099200926721096,3283
0.02,0.21090276957688409,0.1951345053315162,3283
0.03,0.2716354781712064,0.268354289829731,3283
0.04,0.31403721876971213,0.3139274322986602,3283
0.05,0.3412929954381726,0.3410499647259712,3283
0.06,0.36003154689573746,0.3599889433383941,3283
0.07,0.377072525545932,0.3762739011645317,3283
0.08,0.39259505430436736,0.3922633516788483,3283
0.09,0.40667785815492913,0.4082589799165725,3283
0.1,0.4196404254308496,0.4208715856075287,3283
0.11,0.43149172972804917,0.4328431701660156,3283
0.12,0.44286572231775806,0.4440215158462524,3283
0.13,0.45373834225514514,0.4552212166786193,3283
0.14,0.46410313848638696,0.4656845217943192,3283
0.15,0.4741341442205613,0.4762340828776359,3283
0.16,0.48381201794406753,0.4860658168792724,3283
0.17,0.4932031646594201,0.4958920541405678,3283
0.18,0.5023517520467464,0.5048170328140259,3283
0.19,0.5110830564887703,0.5134271275997162,3283
0.2,0.5196469958384807,0.5214054465293885,3283
0.21,0.5280153994180065,0.5297748863697052,3283
0.22,0.5362023436164406,0.5379495048522949,3283
0.23,0.5443312278985433,0.5464040875434876,3283
0.24,0.5522898664392425,0.5544878458976745,3283
0.25,0.5600666052574179,0.562272310256958,3283
0.26,0.5676989240547233,0.5701280450820922,3283
0.27,0.5752284822340895,0.5777685761451722,3283
0.28,0.5826930295262728,0.5848174166679383,3283
0.29,0.5900367684746312,0.592204515337944,3283
0.3,0.5973151177875958,0.599185562133789,3283
0.31,0.6044550456791581,0.6061816668510437,3283
0.32,0.6115092268329257,0.6134717035293579,3283
0.33,0.6184319739559784,0.6198780530691147,3283
0.34,0.6253234848985576,0.6268543243408203,3283
0.35,0.6322200587309246,0.6337698757648468,3283
0.36,0.6389965522794,0.640507366657257,3283
0.37,0.6456429112317937,0.6473689657449723,3283
0.38,0.6522321140059893,0.6540477466583252,3283
0.39,0.6587466689594773,0.6603251296281815,3283
0.4,0.6652478662853084,0.6668850183486938,3283
0.41,0.6716527711613455,0.6732206225395203,3283
0.42,0.6780234443974357,0.679488159418106,3283
0.43,0.6843737539648103,0.6856200289726258,3283
0.44,0.690710489817084,0.6916922497749328,3283
0.45,0.69705046081267,0.6981635093688965,3283
0.46,0.7033539066349556,0.7046755170822143,3283
0.47,0.7096155340102182,0.7111399114131928,3283
0.48,0.7158073611946466,0.716926121711731,3283
0.49,0.7219703061178332,0.7231981086730956,3283
0.5,0.7281019177481854,0.7295830845832825,3283
0.51,0.7340944681240588,0.7358183926343917,3283
0.52,0.7400544151365122,0.7415705323219299,3283
0.53,0.7460738030824944,0.7475694143772125,3283
0.54,0.7521057477608855,0.7534580457210541,3283
0.55,0.7581112581293575,0.7595274180173874,3283
0.56,0.7640456760100319,0.7653478980064392,3283
0.57,0.7699352876473011,0.7709637093544007,3283
0.58,0.7757737277086428,0.7768016803264618,3283
0.59,0.7815827768725155,0.7823745131492614,3283
0.6,0.7873525489404222,0.7880809545516968,3283
0.61,0.7931270932145429,0.79377081990242,3283
0.62,0.7988326618321379,0.7993366599082947,3283
0.63,0.8044926758831753,0.8048890155553817,3283
0.64,0.8101231411503395,0.81053786277771,3283
0.65,0.8157274780705903,0.8160328567028046,3283
0.66,0.8212999111942282,0.8215749216079712,3283
0.67,0.826831195971387,0.827395042181015,3283
0.68,0.8324115182770268,0.8330104470252991,3283
0.69,0.8379945414699217,0.838723818063736,3283
0.7,0.8434943119182553,0.8442076027393342,3283
0.71,0.8489471477996348,0.8496509313583374,3283
0.72,0.8544318555042651,0.8550786137580871,3283
0.73,0.8598883713778657,0.8603460121154786,3283
0.74,0.8653074059887989,0.8657701921463012,3283
0.75,0.8707518718144969,0.8713358938694,3283
0.76,0.876108631102951,0.8768132710456848,3283
0.77,0.8814791107471854,0.8821333646774292,3283
0.78,0.8868320512364923,0.8875906634330749,3283
0.79,0.8921791507102643,0.8928088867664338,3283
0.8,0.8974724070349737,0.8979479670524597,3283
0.81,0.9027887284764785,0.9031610643863678,3283
0.82,0.9080787897099093,0.9088347339630128,3283
0.83,0.9133480780002295,0.914036009311676,3283
0.84,0.9186245418270296,0.919148542881012,3283
0.85,0.9238714516507828,0.92436546087265,3283
0.86,0.9290823341773989,0.9294426822662354,3283
0.87,0.9342529663553406,0.9346868062019348,3283
0.88,0.9393873989237106,0.9396489548683168,3283
0.89,0.9444813119835,0.944809514284134,3283
0.9,0.9495849352764567,0.949875283241272,3283
0.91,0.9546935106959606,0.9550408625602722,3283
0.92,0.9597949276274019,0.9600896048545836,3283
0.93,0.9648861380088921,0.9651550549268724,3283
0.94,0.9699619265852489,0.9702545845508576,3283
0.95,0.9750044772547265,0.9752719402313232,3283
0.96,0.9800067225252025,0.9803301000595092,3283
0.97,0.9849951703113425,0.9853061223030092,3283
0.98,0.9899995159703422,0.990226798057556,3283
0.99,0.9950011722062225,0.9951000744104386,3283
1.0,1.0,1.0,3283
